== Frequent Itemsets ==
34 (7914)
59 (5176)
63 (4936)
76 (4384)
23 (3376)
93 (3968)
52 (3516)
86 (7924)
85 (8124)
36 (6812)
3 (3656)
67 (4464)
90 (7488)
1 (3916)
39 (5612)
2 (4208)
10 (3244)
53 (4608)
28 (3528)
24 (4748)
110 (4040)
6 (3152)
56 (3776)
116 (3148)
34 76 86 => 67 85 (conf: 0.80)
34 76 85 => 67 86 (conf: 0.80)
76 86 85 => 67 34 (conf: 0.80)
67 34 76 86 => 85 (conf: 1.00)
67 34 76 85 => 86 (conf: 1.00)
67 34 86 85 => 76 (conf: 0.79)
67 76 86 85 => 34 (conf: 1.00)
34 76 86 85 => 67 (conf: 0.80)
1 => 36 90 85 34 (conf: 0.94)
34 1 => 36 85 90 (conf: 0.95)
90 1 => 36 85 34 (conf: 0.97)
1 36 => 90 85 34 (conf: 0.97)
1 85 => 36 90 34 (conf: 0.94)
34 90 1 => 36 85 (conf: 0.97)
34 1 36 => 85 90 (conf: 0.98)
34 1 85 => 36 90 (conf: 0.95)
90 1 36 => 85 34 (conf: 1.00)
90 1 85 => 36 34 (conf: 0.97)
1 36 85 => 90 34 (conf: 0.97)
34 90 1 36 => 85 (conf: 1.00)
34 90 1 85 => 36 (conf: 0.97)
34 1 36 85 => 90 (conf: 0.98)
90 1 36 85 => 34 (conf: 1.00)
59 => 86 34 93 63 (conf: 0.61)
63 => 86 34 59 93 (conf: 0.64)
93 => 86 34 59 63 (conf: 0.79)
34 59 => 86 93 63 (conf: 0.63)
34 63 => 86 59 93 (conf: 0.66)
34 93 => 86 59 63 (conf: 0.83)
59 63 => 86 34 93 (conf: 0.75)
59 86 => 34 93 63 (conf: 0.63)
59 93 => 86 34 63 (conf: 0.86)
63 86 => 34 59 93 (conf: 0.66)
63 93 => 86 34 59 (conf: 0.90)
86 93 => 34 59 63 (conf: 0.83)
34 59 63 => 86 93 (conf: 0.79)
34 59 86 => 93 63 (conf: 0.63)
34 59 93 => 86 63 (conf: 0.90)
34 63 86 => 59 93 (conf: 0.66)
34 63 93 => 86 59 (conf: 0.96)
34 86 93 => 59 63 (conf: 0.83)
59 63 86 => 34 93 (conf: 0.79)
59 63 93 => 86 34 (conf: 0.94)
59 86 93 => 34 63 (conf: 0.90)
63 86 93 => 34 59 (conf: 0.96)
34 59 63 86 => 93 (conf: 0.79)
34 59 63 93 => 86 (conf: 1.00)
34 59 86 93 => 63 (conf: 0.90)
34 63 86 93 => 59 (conf: 0.96)
59 63 86 93 => 34 (conf: 1.00)
63 => 36 90 85 34 (conf: 0.75)
34 63 => 36 85 90 (conf: 0.78)
63 90 => 36 85 34 (conf: 0.82)
63 36 => 90 85 34 (conf: 0.88)
63 85 => 36 90 34 (conf: 0.75)
34 63 90 => 36 85 (conf: 0.86)
34 63 36 => 85 90 (conf: 0.93)
34 63 85 => 36 90 (conf: 0.78)
63 90 36 => 85 34 (conf: 0.95)
63 90 85 => 36 34 (conf: 0.82)
63 36 85 => 90 34 (conf: 0.88)
34 63 90 36 => 85 (conf: 1.00)
34 63 90 85 => 36 (conf: 0.86)
34 63 36 85 => 90 (conf: 0.93)
63 90 36 85 => 34 (conf: 0.95)
59 => 85 86 34 23 (conf: 0.62)
23 => 85 86 34 59 (conf: 0.96)
34 59 => 86 85 23 (conf: 0.65)
34 23 => 86 85 59 (conf: 0.96)
59 86 => 85 34 23 (conf: 0.65)
59 85 => 86 34 23 (conf: 0.62)
59 23 => 85 86 34 (conf: 1.00)
86 23 => 85 34 59 (conf: 0.96)
85 23 => 86 34 59 (conf: 0.96)
34 59 86 => 85 23 (conf: 0.65)
34 59 85 => 86 23 (conf: 0.65)
34 59 23 => 86 85 (conf: 1.00)
34 86 23 => 85 59 (conf: 0.96)
34 85 23 => 86 59 (conf: 0.96)
59 86 85 => 34 23 (conf: 0.65)
59 86 23 => 85 34 (conf: 1.00)
59 85 23 => 86 34 (conf: 1.00)
86 85 23 => 34 59 (conf: 0.96)
34 59 86 85 => 23 (conf: 0.65)
34 59 86 23 => 85 (conf: 1.00)
34 59 85 23 => 86 (conf: 1.00)
34 86 85 23 => 59 (conf: 0.96)
59 86 85 23 => 34 (conf: 1.00)
93 => 36 86 90 59 (conf: 0.76)
59 90 => 36 86 93 (conf: 0.64)
59 36 => 86 90 93 (conf: 0.68)
59 86 => 36 90 93 (conf: 0.61)
59 93 => 36 86 90 (conf: 0.83)
90 93 => 36 86 59 (conf: 0.85)
36 93 => 86 90 59 (conf: 0.87)
86 93 => 36 90 59 (conf: 0.80)
59 90 36 => 86 93 (conf: 0.73)
59 90 86 => 36 93 (conf: 0.67)
59 90 93 => 36 86 (conf: 0.89)
59 36 86 => 90 93 (conf: 0.71)
59 36 93 => 86 90 (conf: 0.91)
59 86 93 => 36 90 (conf: 0.87)
90 36 93 => 86 59 (conf: 0.90)
90 86 93 => 36 59 (conf: 0.90)
36 86 93 => 90 59 (conf: 0.92)
59 90 36 86 => 93 (conf: 0.77)
59 90 36 93 => 86 (conf: 0.94)
59 90 86 93 => 36 (conf: 0.94)
59 36 86 93 => 90 (conf: 0.97)
90 36 86 93 => 59 (conf: 0.95)
59 => 90 85 34 63 (conf: 0.69)
63 => 90 85 34 59 (conf: 0.73)
34 59 => 85 90 63 (conf: 0.72)
34 63 => 85 90 59 (conf: 0.76)
59 63 => 90 85 34 (conf: 0.87)
59 90 => 85 34 63 (conf: 0.76)
59 85 => 90 34 63 (conf: 0.69)
63 90 => 85 34 59 (conf: 0.80)
63 85 => 90 34 59 (conf: 0.73)
34 59 63 => 85 90 (conf: 0.91)
34 59 90 => 85 63 (conf: 0.79)
34 59 85 => 90 63 (conf: 0.72)
34 63 90 => 85 59 (conf: 0.84)
34 63 85 => 90 59 (conf: 0.76)
59 63 90 => 85 34 (conf: 0.95)
59 63 85 => 90 34 (conf: 0.87)
59 90 85 => 34 63 (conf: 0.76)
63 90 85 => 34 59 (conf: 0.80)
34 59 63 90 => 85 (conf: 1.00)
34 59 63 85 => 90 (conf: 0.91)
34 59 90 85 => 63 (conf: 0.79)
34 63 90 85 => 59 (conf: 0.84)
59 63 90 85 => 34 (conf: 0.95)
63 => 85 90 86 34 (conf: 0.87)
34 63 => 85 86 90 (conf: 0.91)
63 90 => 85 86 34 (conf: 0.96)
63 86 => 90 85 34 (conf: 0.91)
63 85 => 90 86 34 (conf: 0.87)
34 63 90 => 86 85 (conf: 1.00)
34 63 86 => 85 90 (conf: 0.91)
34 63 85 => 86 90 (conf: 0.91)
63 90 86 => 85 34 (conf: 1.00)
63 90 85 => 86 34 (conf: 0.96)
63 86 85 => 90 34 (conf: 0.91)
34 63 90 86 => 85 (conf: 1.00)
34 63 90 85 => 86 (conf: 1.00)
34 63 86 85 => 90 (conf: 0.91)
63 90 86 85 => 34 (conf: 1.00)
59 => 85 86 34 63 (conf: 0.77)
63 => 85 86 34 59 (conf: 0.80)
34 59 => 86 85 63 (conf: 0.80)
34 63 => 86 85 59 (conf: 0.84)
59 63 => 85 86 34 (conf: 0.95)
59 86 => 85 34 63 (conf: 0.80)
59 85 => 86 34 63 (conf: 0.77)
63 86 => 85 34 59 (conf: 0.84)
63 85 => 86 34 59 (conf: 0.80)
34 59 63 => 86 85 (conf: 1.00)
34 59 86 => 85 63 (conf: 0.80)
34 59 85 => 86 63 (conf: 0.80)
34 63 86 => 85 59 (conf: 0.84)
34 63 85 => 86 59 (conf: 0.84)
59 63 86 => 85 34 (conf: 1.00)
59 63 85 => 86 34 (conf: 0.95)
59 86 85 => 34 63 (conf: 0.80)
63 86 85 => 34 59 (conf: 0.84)
34 59 63 86 => 85 (conf: 1.00)
34 59 63 85 => 86 (conf: 1.00)
34 59 86 85 => 63 (conf: 0.80)
34 63 86 85 => 59 (conf: 0.84)
59 63 86 85 => 34 (conf: 1.00)
63 => 85 86 34 23 (conf: 0.62)
23 => 85 86 34 63 (conf: 0.90)
34 63 => 86 85 23 (conf: 0.64)
34 23 => 86 85 63 (conf: 0.90)
63 86 => 85 34 23 (conf: 0.64)
63 85 => 86 34 23 (conf: 0.62)
63 23 => 85 86 34 (conf: 1.00)
86 23 => 85 34 63 (conf: 0.90)
85 23 => 86 34 63 (conf: 0.90)
34 63 86 => 85 23 (conf: 0.64)
34 63 85 => 86 23 (conf: 0.64)
34 63 23 => 86 85 (conf: 1.00)
34 86 23 => 85 63 (conf: 0.90)
34 85 23 => 86 63 (conf: 0.90)
63 86 85 => 34 23 (conf: 0.64)
63 86 23 => 85 34 (conf: 1.00)
63 85 23 => 86 34 (conf: 1.00)
86 85 23 => 34 63 (conf: 0.90)
34 63 86 85 => 23 (conf: 0.64)
34 63 86 23 => 85 (conf: 1.00)
34 63 85 23 => 86 (conf: 1.00)
34 86 85 23 => 63 (conf: 0.90)
63 86 85 23 => 34 (conf: 1.00)
67 => 85 86 34 59 (conf: 0.74)
59 => 67 85 86 34 (conf: 0.64)
67 34 => 86 85 59 (conf: 0.74)
67 59 => 85 86 34 (conf: 1.00)
67 86 => 85 34 59 (conf: 0.74)
67 85 => 86 34 59 (conf: 0.74)
34 59 => 67 86 85 (conf: 0.66)
59 86 => 67 85 34 (conf: 0.66)
59 85 => 67 86 34 (conf: 0.64)
67 34 59 => 86 85 (conf: 1.00)
67 34 86 => 85 59 (conf: 0.74)
67 34 85 => 86 59 (conf: 0.74)
67 59 86 => 85 34 (conf: 1.00)
67 59 85 => 86 34 (conf: 1.00)
67 86 85 => 34 59 (conf: 0.74)
34 59 86 => 67 85 (conf: 0.66)
34 59 85 => 67 86 (conf: 0.66)
59 86 85 => 67 34 (conf: 0.66)
67 34 59 86 => 85 (conf: 1.00)
67 34 59 85 => 86 (conf: 1.00)
67 34 86 85 => 59 (conf: 0.74)
67 59 86 85 => 34 (conf: 1.00)
34 59 86 85 => 67 (conf: 0.66)
67 => 85 86 90 76 (conf: 0.69)
76 => 67 85 86 90 (conf: 0.70)
67 76 => 85 86 90 (conf: 0.88)
67 90 => 86 85 76 (conf: 0.77)
67 86 => 85 90 76 (conf: 0.69)
67 85 => 86 90 76 (conf: 0.69)
76 90 => 67 86 85 (conf: 0.79)
76 86 => 67 85 90 (conf: 0.70)
76 85 => 67 86 90 (conf: 0.70)
67 76 90 => 86 85 (conf: 1.00)
67 76 86 => 85 90 (conf: 0.88)
67 76 85 => 86 90 (conf: 0.88)
67 90 86 => 85 76 (conf: 0.77)
67 90 85 => 86 76 (conf: 0.77)
67 86 85 => 90 76 (conf: 0.69)
76 90 86 => 67 85 (conf: 0.79)
76 90 85 => 67 86 (conf: 0.79)
76 86 85 => 67 90 (conf: 0.70)
67 76 90 86 => 85 (conf: 1.00)
67 76 90 85 => 86 (conf: 1.00)
67 76 86 85 => 90 (conf: 0.88)
67 90 86 85 => 76 (conf: 0.77)
76 90 86 85 => 67 (conf: 0.79)
59 => 36 85 34 93 (conf: 0.60)
93 => 36 85 34 59 (conf: 0.79)
34 59 => 36 85 93 (conf: 0.63)
34 93 => 36 85 59 (conf: 0.83)
59 36 => 85 34 93 (conf: 0.71)
59 85 => 36 34 93 (conf: 0.60)
59 93 => 36 85 34 (conf: 0.85)
36 93 => 85 34 59 (conf: 0.90)
85 93 => 36 34 59 (conf: 0.79)
34 59 36 => 85 93 (conf: 0.74)
34 59 85 => 36 93 (conf: 0.63)
34 59 93 => 36 85 (conf: 0.90)
34 36 93 => 85 59 (conf: 0.95)
34 85 93 => 36 59 (conf: 0.83)
59 36 85 => 34 93 (conf: 0.71)
59 36 93 => 85 34 (conf: 0.94)
59 85 93 => 36 34 (conf: 0.85)
36 85 93 => 34 59 (conf: 0.90)
34 59 36 85 => 93 (conf: 0.74)
34 59 36 93 => 85 (conf: 1.00)
34 59 85 93 => 36 (conf: 0.90)
34 36 85 93 => 59 (conf: 0.95)
59 36 85 93 => 34 (conf: 0.94)
59 => 36 86 90 63 (conf: 0.62)
63 => 36 86 90 59 (conf: 0.65)
59 63 => 36 86 90 (conf: 0.77)
59 90 => 36 86 63 (conf: 0.67)
59 36 => 86 90 63 (conf: 0.72)
59 86 => 36 90 63 (conf: 0.64)
63 90 => 36 86 59 (conf: 0.71)
63 36 => 86 90 59 (conf: 0.76)
63 86 => 36 90 59 (conf: 0.67)
59 63 90 => 36 86 (conf: 0.84)
59 63 36 => 86 90 (conf: 0.87)
59 63 86 => 36 90 (conf: 0.81)
59 90 36 => 86 63 (conf: 0.77)
59 90 86 => 36 63 (conf: 0.70)
59 36 86 => 90 63 (conf: 0.75)
63 90 36 => 86 59 (conf: 0.82)
63 90 86 => 36 59 (conf: 0.74)
63 36 86 => 90 59 (conf: 0.80)
59 63 90 36 => 86 (conf: 0.94)
59 63 90 86 => 36 (conf: 0.89)
59 63 36 86 => 90 (conf: 0.92)
59 90 36 86 => 63 (conf: 0.81)
63 90 36 86 => 59 (conf: 0.86)
59 => 86 85 93 63 (conf: 0.61)
63 => 86 85 59 93 (conf: 0.64)
93 => 86 85 59 63 (conf: 0.79)
59 63 => 86 85 93 (conf: 0.75)
59 86 => 85 93 63 (conf: 0.63)
59 85 => 86 93 63 (conf: 0.61)
59 93 => 86 85 63 (conf: 0.86)
63 86 => 85 59 93 (conf: 0.66)
63 85 => 86 59 93 (conf: 0.64)
63 93 => 86 85 59 (conf: 0.90)
86 93 => 85 59 63 (conf: 0.83)
85 93 => 86 59 63 (conf: 0.79)
59 63 86 => 85 93 (conf: 0.79)
59 63 85 => 86 93 (conf: 0.75)
59 63 93 => 86 85 (conf: 0.94)
59 86 85 => 93 63 (conf: 0.63)
59 86 93 => 85 63 (conf: 0.90)
59 85 93 => 86 63 (conf: 0.86)
63 86 85 => 59 93 (conf: 0.66)
63 86 93 => 85 59 (conf: 0.96)
63 85 93 => 86 59 (conf: 0.90)
86 85 93 => 59 63 (conf: 0.83)
59 63 86 85 => 93 (conf: 0.79)
59 63 86 93 => 85 (conf: 1.00)
59 63 85 93 => 86 (conf: 0.94)
59 86 85 93 => 63 (conf: 0.90)
63 86 85 93 => 59 (conf: 0.96)
93 => 85 90 86 34 (conf: 0.85)
34 93 => 85 86 90 (conf: 0.89)
90 93 => 85 86 34 (conf: 0.95)
86 93 => 90 85 34 (conf: 0.89)
85 93 => 90 86 34 (conf: 0.85)
34 90 93 => 86 85 (conf: 1.00)
34 86 93 => 85 90 (conf: 0.89)
34 85 93 => 86 90 (conf: 0.89)
90 86 93 => 85 34 (conf: 1.00)
90 85 93 => 86 34 (conf: 0.95)
86 85 93 => 90 34 (conf: 0.89)
34 90 86 93 => 85 (conf: 1.00)
34 90 85 93 => 86 (conf: 1.00)
34 86 85 93 => 90 (conf: 0.89)
90 86 85 93 => 34 (conf: 1.00)
59 => 90 85 34 93 (conf: 0.62)
93 => 90 85 34 59 (conf: 0.81)
34 59 => 85 90 93 (conf: 0.65)
34 93 => 85 90 59 (conf: 0.85)
59 90 => 85 34 93 (conf: 0.68)
59 85 => 90 34 93 (conf: 0.62)
59 93 => 90 85 34 (conf: 0.88)
90 93 => 85 34 59 (conf: 0.91)
85 93 => 90 34 59 (conf: 0.81)
34 59 90 => 85 93 (conf: 0.71)
34 59 85 => 90 93 (conf: 0.65)
34 59 93 => 85 90 (conf: 0.93)
34 90 93 => 85 59 (conf: 0.96)
34 85 93 => 90 59 (conf: 0.85)
59 90 85 => 34 93 (conf: 0.68)
59 90 93 => 85 34 (conf: 0.94)
59 85 93 => 90 34 (conf: 0.88)
90 85 93 => 34 59 (conf: 0.91)
34 59 90 85 => 93 (conf: 0.71)
34 59 90 93 => 85 (conf: 1.00)
34 59 85 93 => 90 (conf: 0.93)
34 90 85 93 => 59 (conf: 0.96)
59 90 85 93 => 34 (conf: 0.94)
93 => 86 34 59 23 (conf: 0.77)
23 => 86 34 59 93 (conf: 0.90)
34 59 => 86 93 23 (conf: 0.61)
34 93 => 86 59 23 (conf: 0.81)
34 23 => 86 59 93 (conf: 0.90)
59 86 => 34 93 23 (conf: 0.61)
59 93 => 86 34 23 (conf: 0.83)
59 23 => 86 34 93 (conf: 0.94)
86 93 => 34 59 23 (conf: 0.81)
86 23 => 34 59 93 (conf: 0.90)
93 23 => 86 34 59 (conf: 0.95)
34 59 86 => 93 23 (conf: 0.61)
34 59 93 => 86 23 (conf: 0.88)
34 59 23 => 86 93 (conf: 0.94)
34 86 93 => 59 23 (conf: 0.81)
34 86 23 => 59 93 (conf: 0.90)
34 93 23 => 86 59 (conf: 0.95)
59 86 93 => 34 23 (conf: 0.88)
59 86 23 => 34 93 (conf: 0.94)
59 93 23 => 86 34 (conf: 1.00)
86 93 23 => 34 59 (conf: 0.95)
34 59 86 93 => 23 (conf: 0.88)
34 59 86 23 => 93 (conf: 0.94)
34 59 93 23 => 86 (conf: 1.00)
34 86 93 23 => 59 (conf: 0.95)
59 86 93 23 => 34 (conf: 1.00)
67 => 85 90 86 34 (conf: 0.89)
67 34 => 85 86 90 (conf: 0.89)
67 90 => 85 86 34 (conf: 1.00)
67 86 => 90 85 34 (conf: 0.89)
67 85 => 90 86 34 (conf: 0.89)
67 34 90 => 86 85 (conf: 1.00)
67 34 86 => 85 90 (conf: 0.89)
67 34 85 => 86 90 (conf: 0.89)
67 90 86 => 85 34 (conf: 1.00)
67 90 85 => 86 34 (conf: 1.00)
67 86 85 => 90 34 (conf: 0.89)
67 34 90 86 => 85 (conf: 1.00)
67 34 90 85 => 86 (conf: 1.00)
67 34 86 85 => 90 (conf: 0.89)
67 90 86 85 => 34 (conf: 1.00)
93 => 36 90 85 34 (conf: 0.80)
34 93 => 36 85 90 (conf: 0.84)
90 93 => 36 85 34 (conf: 0.89)
36 93 => 90 85 34 (conf: 0.91)
85 93 => 36 90 34 (conf: 0.80)
34 90 93 => 36 85 (conf: 0.94)
34 36 93 => 85 90 (conf: 0.96)
34 85 93 => 36 90 (conf: 0.84)
90 36 93 => 85 34 (conf: 0.94)
90 85 93 => 36 34 (conf: 0.89)
36 85 93 => 90 34 (conf: 0.91)
34 90 36 93 => 85 (conf: 1.00)
34 90 85 93 => 36 (conf: 0.94)
34 36 85 93 => 90 (conf: 0.96)
90 36 85 93 => 34 (conf: 0.94)
63 => 36 85 59 93 (conf: 0.62)
93 => 36 85 59 63 (conf: 0.77)
59 63 => 36 85 93 (conf: 0.74)
59 36 => 85 93 63 (conf: 0.69)
59 93 => 36 85 63 (conf: 0.83)
63 36 => 85 59 93 (conf: 0.73)
63 85 => 36 59 93 (conf: 0.62)
63 93 => 36 85 59 (conf: 0.88)
36 93 => 85 59 63 (conf: 0.88)
85 93 => 36 59 63 (conf: 0.77)
59 63 36 => 85 93 (conf: 0.83)
59 63 85 => 36 93 (conf: 0.74)
59 63 93 => 36 85 (conf: 0.92)
59 36 85 => 93 63 (conf: 0.69)
59 36 93 => 85 63 (conf: 0.92)
59 85 93 => 36 63 (conf: 0.83)
63 36 85 => 59 93 (conf: 0.73)
63 36 93 => 85 59 (conf: 0.98)
63 85 93 => 36 59 (conf: 0.88)
36 85 93 => 59 63 (conf: 0.88)
59 63 36 85 => 93 (conf: 0.83)
59 63 36 93 => 85 (conf: 1.00)
59 63 85 93 => 36 (conf: 0.92)
59 36 85 93 => 63 (conf: 0.92)
63 36 85 93 => 59 (conf: 0.98)
93 => 86 85 59 23 (conf: 0.77)
23 => 86 85 59 93 (conf: 0.90)
59 86 => 85 93 23 (conf: 0.61)
59 93 => 86 85 23 (conf: 0.83)
59 23 => 86 85 93 (conf: 0.94)
86 93 => 85 59 23 (conf: 0.81)
86 23 => 85 59 93 (conf: 0.90)
85 93 => 86 59 23 (conf: 0.77)
85 23 => 86 59 93 (conf: 0.90)
93 23 => 86 85 59 (conf: 0.95)
59 86 85 => 93 23 (conf: 0.61)
59 86 93 => 85 23 (conf: 0.88)
59 86 23 => 85 93 (conf: 0.94)
59 85 93 => 86 23 (conf: 0.83)
59 85 23 => 86 93 (conf: 0.94)
59 93 23 => 86 85 (conf: 1.00)
86 85 93 => 59 23 (conf: 0.81)
86 85 23 => 59 93 (conf: 0.90)
86 93 23 => 85 59 (conf: 0.95)
85 93 23 => 86 59 (conf: 0.95)
59 86 85 93 => 23 (conf: 0.88)
59 86 85 23 => 93 (conf: 0.94)
59 86 93 23 => 85 (conf: 1.00)
59 85 93 23 => 86 (conf: 1.00)
86 85 93 23 => 59 (conf: 0.95)
3 => 85 90 86 34 (conf: 0.93)
3 34 => 85 86 90 (conf: 0.95)
3 90 => 85 86 34 (conf: 0.99)
3 86 => 90 85 34 (conf: 0.95)
3 85 => 90 86 34 (conf: 0.93)
3 34 90 => 86 85 (conf: 1.00)
3 34 86 => 85 90 (conf: 0.95)
3 34 85 => 86 90 (conf: 0.95)
3 90 86 => 85 34 (conf: 1.00)
3 90 85 => 86 34 (conf: 0.99)
3 86 85 => 90 34 (conf: 0.95)
3 34 90 86 => 85 (conf: 1.00)
3 34 90 85 => 86 (conf: 1.00)
3 34 86 85 => 90 (conf: 0.95)
3 90 86 85 => 34 (conf: 1.00)
59 => 90 86 34 63 (conf: 0.69)
63 => 90 86 34 59 (conf: 0.73)
34 59 => 86 90 63 (conf: 0.72)
34 63 => 86 90 59 (conf: 0.76)
59 63 => 90 86 34 (conf: 0.87)
59 90 => 86 34 63 (conf: 0.76)
59 86 => 90 34 63 (conf: 0.72)
63 90 => 86 34 59 (conf: 0.80)
63 86 => 90 34 59 (conf: 0.76)
34 59 63 => 86 90 (conf: 0.91)
34 59 90 => 86 63 (conf: 0.79)
34 59 86 => 90 63 (conf: 0.72)
34 63 90 => 86 59 (conf: 0.84)
34 63 86 => 90 59 (conf: 0.76)
59 63 90 => 86 34 (conf: 0.95)
59 63 86 => 90 34 (conf: 0.91)
59 90 86 => 34 63 (conf: 0.79)
63 90 86 => 34 59 (conf: 0.84)
34 59 63 90 => 86 (conf: 1.00)
34 59 63 86 => 90 (conf: 0.91)
34 59 90 86 => 63 (conf: 0.79)
34 63 90 86 => 59 (conf: 0.84)
59 63 90 86 => 34 (conf: 1.00)
59 => 36 85 90 93 (conf: 0.62)
93 => 36 85 90 59 (conf: 0.81)
59 90 => 36 85 93 (conf: 0.68)
59 36 => 85 90 93 (conf: 0.73)
59 85 => 36 90 93 (conf: 0.62)
59 93 => 36 85 90 (conf: 0.88)
90 93 => 36 85 59 (conf: 0.90)
36 93 => 85 90 59 (conf: 0.92)
85 93 => 36 90 59 (conf: 0.81)
59 90 36 => 85 93 (conf: 0.78)
59 90 85 => 36 93 (conf: 0.68)
59 90 93 => 36 85 (conf: 0.94)
59 36 85 => 90 93 (conf: 0.73)
59 36 93 => 85 90 (conf: 0.97)
59 85 93 => 36 90 (conf: 0.88)
90 36 93 => 85 59 (conf: 0.96)
90 85 93 => 36 59 (conf: 0.90)
36 85 93 => 90 59 (conf: 0.92)
59 90 36 85 => 93 (conf: 0.78)
59 90 36 93 => 85 (conf: 1.00)
59 90 85 93 => 36 (conf: 0.94)
59 36 85 93 => 90 (conf: 0.97)
90 36 85 93 => 59 (conf: 0.96)
93 => 36 85 86 90 (conf: 0.80)
90 93 => 36 86 85 (conf: 0.89)
36 93 => 85 86 90 (conf: 0.91)
86 93 => 36 85 90 (conf: 0.84)
85 93 => 36 86 90 (conf: 0.80)
90 36 93 => 86 85 (conf: 0.94)
90 86 93 => 36 85 (conf: 0.94)
90 85 93 => 36 86 (conf: 0.89)
36 86 93 => 85 90 (conf: 0.96)
36 85 93 => 86 90 (conf: 0.91)
86 85 93 => 36 90 (conf: 0.84)
90 36 86 93 => 85 (conf: 1.00)
90 36 85 93 => 86 (conf: 0.94)
90 86 85 93 => 36 (conf: 0.94)
36 86 85 93 => 90 (conf: 0.96)
67 => 90 85 34 76 (conf: 0.69)
76 => 67 90 85 34 (conf: 0.70)
67 34 => 85 90 76 (conf: 0.69)
67 76 => 90 85 34 (conf: 0.88)
67 90 => 85 34 76 (conf: 0.77)
67 85 => 90 34 76 (conf: 0.69)
34 76 => 67 85 90 (conf: 0.70)
76 90 => 67 85 34 (conf: 0.79)
76 85 => 67 90 34 (conf: 0.70)
67 34 76 => 85 90 (conf: 0.88)
67 34 90 => 85 76 (conf: 0.77)
67 34 85 => 90 76 (conf: 0.69)
67 76 90 => 85 34 (conf: 1.00)
67 76 85 => 90 34 (conf: 0.88)
67 90 85 => 34 76 (conf: 0.77)
34 76 90 => 67 85 (conf: 0.79)
34 76 85 => 67 90 (conf: 0.70)
76 90 85 => 67 34 (conf: 0.79)
67 34 76 90 => 85 (conf: 1.00)
67 34 76 85 => 90 (conf: 0.88)
67 34 90 85 => 76 (conf: 0.77)
67 76 90 85 => 34 (conf: 1.00)
34 76 90 85 => 67 (conf: 0.79)
1 => 36 85 86 34 (conf: 0.97)
34 1 => 36 86 85 (conf: 0.97)
1 36 => 85 86 34 (conf: 1.00)
1 86 => 36 85 34 (conf: 0.97)
1 85 => 36 86 34 (conf: 0.97)
34 1 36 => 86 85 (conf: 1.00)
34 1 86 => 36 85 (conf: 0.97)
34 1 85 => 36 86 (conf: 0.97)
1 36 86 => 85 34 (conf: 1.00)
1 36 85 => 86 34 (conf: 1.00)
1 86 85 => 36 34 (conf: 0.97)
34 1 36 86 => 85 (conf: 1.00)
34 1 36 85 => 86 (conf: 1.00)
34 1 86 85 => 36 (conf: 0.97)
1 36 86 85 => 34 (conf: 1.00)
63 => 90 86 34 93 (conf: 0.61)
93 => 90 86 34 63 (conf: 0.76)
34 63 => 86 90 93 (conf: 0.64)
34 93 => 86 90 63 (conf: 0.80)
63 90 => 86 34 93 (conf: 0.67)
63 86 => 90 34 93 (conf: 0.64)
63 93 => 90 86 34 (conf: 0.87)
90 93 => 86 34 63 (conf: 0.85)
86 93 => 90 34 63 (conf: 0.80)
34 63 90 => 86 93 (conf: 0.70)
34 63 86 => 90 93 (conf: 0.64)
34 63 93 => 86 90 (conf: 0.92)
34 90 93 => 86 63 (conf: 0.90)
34 86 93 => 90 63 (conf: 0.80)
63 90 86 => 34 93 (conf: 0.70)
63 90 93 => 86 34 (conf: 0.94)
63 86 93 => 90 34 (conf: 0.92)
90 86 93 => 34 63 (conf: 0.90)
34 63 90 86 => 93 (conf: 0.70)
34 63 90 93 => 86 (conf: 1.00)
34 63 86 93 => 90 (conf: 0.92)
34 90 86 93 => 63 (conf: 0.90)
63 90 86 93 => 34 (conf: 1.00)
59 => 36 85 34 63 (conf: 0.67)
63 => 36 85 34 59 (conf: 0.71)
34 59 => 36 85 63 (conf: 0.70)
34 63 => 36 85 59 (conf: 0.74)
59 63 => 36 85 34 (conf: 0.84)
59 36 => 85 34 63 (conf: 0.79)
59 85 => 36 34 63 (conf: 0.67)
63 36 => 85 34 59 (conf: 0.83)
63 85 => 36 34 59 (conf: 0.71)
34 59 63 => 36 85 (conf: 0.88)
34 59 36 => 85 63 (conf: 0.82)
34 59 85 => 36 63 (conf: 0.70)
34 63 36 => 85 59 (conf: 0.87)
34 63 85 => 36 59 (conf: 0.74)
59 63 36 => 85 34 (conf: 0.95)
59 63 85 => 36 34 (conf: 0.84)
59 36 85 => 34 63 (conf: 0.79)
63 36 85 => 34 59 (conf: 0.83)
34 59 63 36 => 85 (conf: 1.00)
34 59 63 85 => 36 (conf: 0.88)
34 59 36 85 => 63 (conf: 0.82)
34 63 36 85 => 59 (conf: 0.87)
59 63 36 85 => 34 (conf: 0.95)
59 => 36 85 86 90 (conf: 0.76)
59 90 => 36 86 85 (conf: 0.83)
59 36 => 85 86 90 (conf: 0.89)
59 86 => 36 85 90 (conf: 0.79)
59 85 => 36 86 90 (conf: 0.76)
90 36 => 86 85 59 (conf: 0.61)
59 90 36 => 86 85 (conf: 0.95)
59 90 86 => 36 85 (conf: 0.87)
59 90 85 => 36 86 (conf: 0.83)
59 36 86 => 85 90 (conf: 0.93)
59 36 85 => 86 90 (conf: 0.89)
